"mean","left.bound","right.bound","subgroup","sex","nat"
7.13260027,6.8076888,7.4512576,"F-W","F",1
9.66226767,8.766062,10.514598,"F-H","F",1
12.23985721,11.6735912,12.8067788,"F-B","F",1
2.65683181,2.488864,2.8183588,"M-W","M",1
3.98484818,3.5083836,4.4564408,"M-H","M",1
5.80832767,5.4022228,6.233962,"M-B","M",1
8.56797072,7.6996116,9.4998996,"F-W","F",0
11.82177839,10.8327564,12.8071616,"F-H","F",0
15.24762229,13.9029784,16.7920544,"F-B","F",0
3.41060009,2.9895904,3.8661656,"M-W","M",0
5.15267269,4.6143172,5.7018344,"M-H","M",0
7.5321536,6.6689544,8.5145064,"M-B","M",0
